q_id;q_ch;q_id_ch;language;start_hh;start_min;G1;G2;G3;G4;G5;G6;sex;age;education;nationality;nationality2;occupation;D8;finish_hh;finish_min;character_lang;data_inter;region;type_settl;settlement;Code_inter;macroregion4;urban_rural;age_6gr;WEIGHT
1;1;1;2;12;49;1;1;5;5;3;3;2;73;6;1;1;8;3;13;24;3;21;2;7;1;80;2;1;6;,640689005197
2;1;1;1;14;3;2;1;3;3;3;2;1;34;8;2;5;4;3;14;41;3;22;2;7;1;80;2;1;2;1,740943942978
3;1;2;1;14;43;1;1;4;4;2; ;2;80;5;1;1;8;2;15;5;3;22;2;7;1;80;2;1;6;,640689005197
4;1;3;1;15;6;1;1;4;4;2; ;2;77;8;2;5;8;2;16;43;3;22;2;7;1;80;2;1;6;,640689005197
5;1;4;1;16;45;2;1;3;4;1; ;1;49;8;1;1;6;3;17;4;1;22;2;7;1;80;2;1;3;1,136160414565
6;1;5;1;17;6;1;1;4;3;2; ;2;73;5;1;1;8;2;17;34;1;22;2;7;1;80;2;1;6;,640689005197
7;1;6;1;17;38;1;2;3;3;4;3;1;54;6;1;1;1;3;17;50;1;22;2;7;1;80;2;1;4;,993800739688
8;1;7;1;17;52;1;1;3;4;2; ;2;70;8;1;1;8;2;18;5;3;22;2;7;1;80;2;1;6;,640689005197
9;1;8;1;18;9;1;1;4;4;3;4;2;33;4;1;1;7;3;18;24;3;22;2;7;1;80;2;1;2;,779577719959
10;1;9;1;18;30;1;1;4;4;1; ;2;77;6;1;1;8;2;19;12;3;22;2;7;1;80;2;1;6;,640689005197
11;2;1;1;12;34;1;2;5;3;3;3;2;64;5;1;1;8;2;12;54;1;24;2;7;1;80;2;1;5;,61129362135
12;2;2;1;12;55;1;2;3;3;3;3;2;63;4;1;1;8;2;13;22;1;24;2;7;1;80;2;1;5;,61129362135
13;2;2;2;13;26;1;5;5;2;2; ;2;55;5;1;1;8;3;13;39;1;21;2;7;1;80;2;1;4;,992483714406
14;2;3;1;13;24;1;5;5;5;2; ;2;65;5;1;1;8;2;14;0;1;24;2;7;1;80;2;1;5;,61129362135
15;2;4;1;14;6;1;1;5;4;3;3;2;27;8;1;1;7;3;14;20;1;24;2;7;1;80;2;1;1;1,339356702668
16;2;5;1;14;21;1;2;3;3;3;3;2;34;8;2;5;7;3;14;40;3;24;2;7;1;80;2;1;2;,779577719959
17;2;6;1;14;42;1;1;5;4;4;1;1;72;5;1;1;8;2;15;1;1;24;2;7;1;80;2;1;6;,93210457848
18;2;7;1;15;2;1;1;3;4;4;1;1;80;4;1;1;8;2;15;18;1;24;2;7;1;80;2;1;6;,93210457848
19;2;8;2;15;20;1;1;3;4;2; ;2;68;8;1;1;8;2;16;1;3;24;2;7;1;80;2;1;5;,61129362135
20;2;9;1;19;10;6;1;4;4;4;2;2;68;8;1;1;8;2;19;27;2;24;2;7;1;80;2;1;5;,61129362135
21;3;3;1;13;43;1;1;3;3;2; ;2;51;6;1;1;2;3;14;10;2;21;2;7;1;80;2;1;4;,992483714406
22;4;1;2;10;3;6;3;5;5;4;2;1;32;4;1;1;10;2;10;45;3;24;2;7;1;1;2;1;2;1,740943942978
23;4;2;5;10;50;1;5;5;5;4;3;1;52;8;3;2;7;2;11;30;2;24;2;7;1;1;2;1;4;,993800739688
24;4;3;2;11;40;2;2;5;5;3;3;2;37;6;1;1;2;3;12;10;2;1;2;7;1;1;2;1;2;,779577719959
25;4;4;5;12;15;1;5;5;5;4;2;1;46;6;3;2;4;3;12;45;3;1;2;7;1;1;2;1;3;1,136160414565
26;4;4;1;14;11;2;5;5;5;4;3;2;68;6;1;1;8;2;14;39;2;21;2;7;1;80;2;1;5;,61129362135
27;4;5;5;12;55;1;4;5;5;5;5;1;80;8;2;3;8;2;13;40;3;1;2;7;1;1;2;1;6;,93210457848
28;4;6;5;13;50;6;5;5;5;4;2;2;33;6;2;2;4;3;14;35;3;1;2;7;1;1;2;1;2;,779577719959
29;4;7;2;14;40;6;5;5;5;3;5;2;82;8;3;3;8;2;15;15;3;1;2;7;1;1;2;1;6;,640689005197
30;4;8;5;15;20;6;2;3;3;3;3;2;55;8;1;1;7;3;16;0;2;1;2;7;1;1;2;1;4;,992483714406
31;4;9;2;16;30;6;5;5;5;3;5;2;76;8;1;1;8;2;17;0;3;1;2;7;1;1;2;1;6;,640689005197
32;5;1;5;10;15;1;5;5;5;4;3;2;26;8;1;1;3;3;10;50;3;1;2;7;1;1;2;1;1;1,339356702668
33;5;2;6;11;20;1;5;5;5;3;5;1;76;6;2;2;8;2;12;5;3;1;2;7;1;1;2;1;6;,93210457848
34;5;3;2;12;30;1;5;5;5;3;5;2;65;6;2;2;8;2;12;30;3;1;2;7;1;1;2;1;5;,61129362135
35;5;4;6;13;30;3;2;3;5;4;1;1;55;8;1;1;3;3;14;10;3;1;2;7;1;1;2;1;4;,993800739688
36;5;5;4;14;20;1;2;5;5;4;2;2;32;8;1;1;3;3;14;55;2;1;2;7;1;1;2;1;2;,779577719959
37;5;5;1;14;43;2;1;4;1;1; ;1;23;8;1;1;3;3;15;16;3;21;2;7;1;80;2;1;1;1,490956194468
38;5;6;6;15;10;1;5;5;5;4;1;2;53;4;1;1;7;3;15;55;3;1;2;7;1;1;2;1;4;,992483714406
39;5;7;5;16;15;1;5;5;5;3;5;2;65;6;1;1;8;2;17;5;3;1;2;7;1;1;2;1;5;,61129362135
40;5;8;2;17;20;2;2;3;3;3;3;2;38;7;2;2;2;3;17;55;3;1;2;7;1;1;2;1;2;,779577719959
41;5;9;2;18;10;2;2;3;3;4;1;2;21;7;1;1;97;3;18;45;3;1;2;7;1;1;2;1;1;1,339356702668
42;6;1;4;10;27;2;1;3;3;4;1;2;28;8;1;1;2;3;11;17;2;21;2;7;1;7;2;1;1;1,339356702668
43;6;2;2;11;49;1;5;3;2;4;2;1;46;6;1;1;4;3;12;13;3;24;2;7;1;7;2;1;3;1,136160414565
44;6;3;2;12;20;1;2;5;3;4;3;2;60;8;1;1;8;2;12;37;3;24;2;7;1;7;2;1;5;,61129362135
45;6;4;2;13;4;1;2;5;5;4;3;1;62;5;1;1;8;1;13;25;2;24;2;7;1;7;2;1;5;1,078727440585
46;6;5;5;13;34;1;2;5;5;4;1;1;63;6;1;1;8;2;14;32;2;24;2;7;1;7;2;1;5;1,078727440585
47;6;6;2;14;8;1;5;1;1;4;3;1;62;8;2;3;8;2;13;34;3;24;2;7;1;7;2;1;5;1,078727440585
48;6;7;1;14;56;2;1;3;2;4;3;2;69;8;1;1;8;2;15;20;1;24;2;7;1;7;2;1;5;,61129362135
49;6;8;1;15;23;2;1;4;4;4;3;2;23;6;1;1;2;3;15;41;1;24;2;7;1;7;2;1;1;1,339356702668
50;6;9;1;16;35;1;2;3;4;4;2;1;71;8;1;1;3;3;17;1;1;24;2;7;1;7;2;1;6;,93210457848
51;7;1;6;14;40;2;2;2;2;4;3;1;18;4;1;1;9;3;15;22;3;22;2;7;1;100;2;1;1;1,490956194468
52;7;2;5;9;53;2;1;3;2;4;3;1;32;6;1;1;1;3;10;24;3;23;2;7;1;100;2;1;2;1,740943942978
53;7;3;2;10;34;1;3;1;1;4;3;2;80;4;1;1;8;2;11;20;3;23;2;7;1;100;2;1;6;,640689005197
54;7;4;2;11;30;2;2;2;1;4;2;1;23;8;1;1;3;3;12;10;3;23;2;7;1;100;2;1;1;1,490956194468
55;7;5;2;18;41;1;2;1;1;4;3;1;69;8;12; ;8;3;19;22;3;24;2;7;1;100;2;1;5;1,078727440585
56;7;6;2;19;27;1;3;4;1;4;3;2;60;4;1;1;10;2;20;8;3;24;2;7;1;100;2;1;5;,61129362135
57;7;7;2;13;7;1;2;2;1;4;3;2;50;6;1;1;2;3;13;49;3;24;2;7;1;100;2;1;4;,992483714406
58;7;7;1;15;19;2;1;5;5;2; ;2;78;8;1;1;8;2;15;46;1;21;2;7;1;80;2;1;6;,640689005197
59;7;8;2;14;35;1;2;4;2;4;2;2;39;6;1;1;2;3;14;42;3;24;2;7;1;100;2;1;2;,779577719959
60;7;9;1;14;41;2;2;3;1;4;2;2;45;8;1;1;3;3;15;22;1;24;2;7;1;100;2;1;3;1,091806812636
61;8;1;1;10;36;1;1;5;2;2; ;2;55;8;1;1;7;3;9;3;1;20;2;7;1;80;2;1;4;,992483714406
